,pressure
2021-03-15 23:01:35.504403+00:00,1013.80
2021-03-15 23:03:35.629661+00:00,1013.90
2021-03-15 23:04:35.725074+00:00,1013.80
2021-03-15 23:09:36.362003+00:00,1013.80
2021-03-15 23:10:36.492772+00:00,1013.90
2021-03-15 23:11:36.636017+00:00,1013.80
2021-03-15 23:12:36.750972+00:00,1013.90
2021-03-15 23:14:36.990020+00:00,1013.80
2021-03-15 23:16:37.127651+00:00,1013.90
2021-03-15 23:21:37.597625+00:00,1013.90
2021-03-15 23:26:38.094428+00:00,1014.00
2021-03-15 23:27:38.182733+00:00,1013.90
2021-03-15 23:28:38.258152+00:00,1014.00
2021-03-15 23:29:38.329827+00:00,1013.90
2021-03-15 23:30:38.430051+00:00,1014.00
2021-03-15 23:31:38.528315+00:00,1014.10
2021-03-15 23:33:38.747778+00:00,1014.20
2021-03-15 23:34:38.872980+00:00,1014.10
2021-03-15 23:36:39.544601+00:00,1014.20
2021-03-15 23:40:40.056709+00:00,1014.30
2021-03-15 23:42:40.307739+00:00,1014.20
2021-03-15 23:43:40.449367+00:00,1014.30
2021-03-15 23:44:40.580593+00:00,1014.20
2021-03-15 23:45:40.708473+00:00,1014.30
2021-03-15 23:46:40.843194+00:00,1014.40
2021-03-15 23:47:40.943085+00:00,1014.30
2021-03-15 23:48:41.017463+00:00,1014.40
2021-03-15 23:53:41.459875+00:00,1014.40
2021-03-15 23:56:41.784087+00:00,1014.50
2021-03-15 23:58:41.962255+00:00,1014.40
2021-03-15 23:59:42.033985+00:00,1014.50
2021-03-16 00:00:42.186254+00:00,1014.60
2021-03-16 00:01:42.289271+00:00,1014.50
2021-03-16 00:06:42.773569+00:00,1014.50
2021-03-16 00:08:43.016205+00:00,1014.60
2021-03-16 00:09:43.628196+00:00,1014.50
2021-03-16 00:10:43.757849+00:00,1014.60
2021-03-16 00:12:43.988747+00:00,1014.70
2021-03-16 00:13:44.092946+00:00,1014.60
2021-03-16 00:14:44.205904+00:00,1014.80
2021-03-16 00:15:44.303149+00:00,1014.60
2021-03-16 00:16:44.364721+00:00,1014.70
2021-03-16 00:18:44.535144+00:00,1014.80
2021-03-16 00:23:44.955301+00:00,1014.80
2021-03-16 00:24:45.033634+00:00,1014.90
2021-03-16 00:25:45.144262+00:00,1014.80
2021-03-16 00:27:45.322358+00:00,1014.90
2021-03-16 00:28:45.481903+00:00,1014.80
2021-03-16 00:29:45.603859+00:00,1014.90
2021-03-16 00:34:46.067696+00:00,1014.90
2021-03-16 00:37:46.332333+00:00,1015.00
2021-03-16 00:39:46.545229+00:00,1014.90
2021-03-16 00:42:46.850953+00:00,1015.00
2021-03-16 00:45:47.172843+00:00,1015.10
2021-03-16 00:48:47.433170+00:00,1015.20
2021-03-16 00:49:47.562103+00:00,1015.10
2021-03-16 00:54:48.124145+00:00,1015.00
2021-03-16 00:55:48.197221+00:00,1015.10
2021-03-16 00:59:48.608911+00:00,1015.00
2021-03-16 01:00:48.706739+00:00,1015.10
2021-03-16 01:01:48.836806+00:00,1015.00
2021-03-16 01:02:48.960773+00:00,1015.10
2021-03-16 01:07:49.515067+00:00,1015.10
2021-03-16 01:11:49.908300+00:00,1015.00
2021-03-16 01:12:50.034491+00:00,1015.10
2021-03-16 01:17:50.652271+00:00,1015.10
2021-03-16 01:21:51.041612+00:00,1015.20
2021-03-16 01:22:51.126745+00:00,1015.10
2021-03-16 01:24:51.404140+00:00,1015.20
2021-03-16 01:25:51.538963+00:00,1015.10
2021-03-16 01:27:51.824913+00:00,1015.20
2021-03-16 01:32:52.304968+00:00,1015.20
2021-03-16 01:37:52.939728+00:00,1015.20
2021-03-16 01:42:53.506680+00:00,1015.20
2021-03-16 01:47:54.132507+00:00,1015.20
2021-03-16 01:52:54.732235+00:00,1015.20
2021-03-16 01:53:54.808901+00:00,1015.30
2021-03-16 01:54:54.881000+00:00,1015.20
2021-03-16 01:55:55.004278+00:00,1015.30
2021-03-16 02:00:56.527416+00:00,1015.20
2021-03-16 02:03:56.877041+00:00,1015.30
2021-03-16 02:04:56.992608+00:00,1015.20
2021-03-16 02:05:57.083219+00:00,1015.30
2021-03-16 02:06:57.160654+00:00,1015.20
2021-03-16 02:07:57.232503+00:00,1015.30
2021-03-16 02:08:57.374304+00:00,1015.20
2021-03-16 02:09:57.513369+00:00,1015.30
2021-03-16 02:10:57.638896+00:00,1015.20
2021-03-16 02:11:57.819133+00:00,1015.30
2021-03-16 02:16:58.427361+00:00,1015.20
2021-03-16 02:17:58.556265+00:00,1015.30
2021-03-16 02:22:59.283674+00:00,1015.40
2021-03-16 02:23:59.404699+00:00,1015.30
2021-03-16 02:25:59.598014+00:00,1015.40
2021-03-16 02:31:00.149223+00:00,1015.40
2021-03-16 02:33:00.365936+00:00,1015.50
2021-03-16 02:38:00.952755+00:00,1015.60
2021-03-16 02:39:01.059144+00:00,1015.50
2021-03-16 02:40:01.184144+00:00,1015.60
2021-03-16 02:41:01.300761+00:00,1015.70
2021-03-16 02:42:01.422265+00:00,1015.60
2021-03-16 02:43:01.537380+00:00,1015.70
2021-03-16 02:44:01.664408+00:00,1015.60
2021-03-16 02:45:01.735408+00:00,1015.70
2021-03-16 02:50:02.258477+00:00,1015.70
2021-03-16 02:52:02.452003+00:00,1015.80
2021-03-16 02:55:02.744584+00:00,1015.70
2021-03-16 02:56:02.867224+00:00,1015.80
2021-03-16 03:01:03.381336+00:00,1015.70
2021-03-16 03:03:03.585644+00:00,1015.80
2021-03-16 03:08:04.648015+00:00,1015.80
2021-03-16 03:09:04.769694+00:00,1015.90
2021-03-16 03:12:05.101996+00:00,1016.00
2021-03-16 03:13:05.201725+00:00,1015.90
2021-03-16 03:14:05.294418+00:00,1016.00
2021-03-16 03:15:05.381158+00:00,1015.90
2021-03-16 03:19:05.735971+00:00,1016.00
2021-03-16 03:20:05.847718+00:00,1015.90
2021-03-16 03:25:06.330227+00:00,1016.00
2021-03-16 03:26:06.448162+00:00,1015.90
2021-03-16 03:28:06.685208+00:00,1016.00
2021-03-16 03:31:07.077362+00:00,1016.10
2021-03-16 03:32:07.159235+00:00,1016.00
2021-03-16 03:34:07.371474+00:00,1016.10
2021-03-16 03:39:07.938652+00:00,1016.10
2021-03-16 03:40:08.022573+00:00,1016.20
2021-03-16 03:41:08.111512+00:00,1016.10
2021-03-16 03:44:08.451243+00:00,1016.20
2021-03-16 03:45:08.539834+00:00,1016.10
2021-03-16 03:46:08.659652+00:00,1016.30
2021-03-16 03:47:08.762888+00:00,1016.20
2021-03-16 03:51:09.243570+00:00,1016.30
2021-03-16 03:55:09.690285+00:00,1016.40
2021-03-16 03:56:09.776890+00:00,1016.30
2021-03-16 03:57:09.892410+00:00,1016.40
2021-03-16 04:02:10.464235+00:00,1016.30
2021-03-16 04:03:11.545038+00:00,1016.40
2021-03-16 04:04:11.610914+00:00,1016.30
