,speed
2021-04-02 13:23:16.332369+00:00,12.20
2021-04-02 13:23:17.338927+00:00,12.20
2021-04-02 13:23:18.357819+00:00,13.20
2021-04-02 13:23:19.346405+00:00,10.50
2021-04-02 13:23:20.356184+00:00,9.30
2021-04-02 13:23:21.358680+00:00,8.10
2021-04-02 13:23:21.377094+00:00,8.20
2021-04-02 13:23:22.371800+00:00,6.80
2021-04-02 13:23:23.407845+00:00,8.50
2021-04-02 13:23:23.474405+00:00,8.60
2021-04-02 13:23:24.387835+00:00,8.90
2021-04-02 13:23:25.385988+00:00,9.50
2021-04-02 13:23:26.396186+00:00,8.50
2021-04-02 13:23:26.491437+00:00,8.60
2021-04-02 13:23:27.388026+00:00,8.10
2021-04-02 13:23:27.491947+00:00,8.20
2021-04-02 13:23:28.390039+00:00,8.10
2021-04-02 13:23:28.491959+00:00,8.20
2021-04-02 13:23:29.399079+00:00,9.70
2021-04-02 13:23:30.404870+00:00,10.10
2021-04-02 13:23:31.423842+00:00,10.10
2021-04-02 13:23:32.423175+00:00,6.80
2021-04-02 13:23:33.430789+00:00,5.60
2021-04-02 13:23:34.432451+00:00,6.60
2021-04-02 13:23:35.442418+00:00,7.90
2021-04-02 13:23:35.543073+00:00,8.00
2021-04-02 13:23:36.460175+00:00,8.90
2021-04-02 13:23:37.456676+00:00,8.50
2021-04-02 13:23:37.471044+00:00,8.60
2021-04-02 13:23:38.461049+00:00,7.60
2021-04-02 13:23:39.483201+00:00,7.20
2021-04-02 13:23:40.476088+00:00,5.60
2021-04-02 13:23:41.479849+00:00,6.40
2021-04-02 13:23:42.488043+00:00,7.20
2021-04-02 13:23:43.480588+00:00,6.80
2021-04-02 13:23:44.497710+00:00,6.00
2021-04-02 13:23:45.480630+00:00,6.00
2021-04-02 13:23:46.488790+00:00,5.40
2021-04-02 13:23:47.509329+00:00,6.00
2021-04-02 13:23:48.514960+00:00,6.60
2021-04-02 13:23:49.511013+00:00,5.60
2021-04-02 13:23:50.502539+00:00,5.20
2021-04-02 13:23:51.506483+00:00,5.80
2021-04-02 13:23:52.512412+00:00,5.20
2021-04-02 13:23:53.530647+00:00,5.20
2021-04-02 13:23:54.520512+00:00,7.40
2021-04-02 13:23:55.535887+00:00,8.50
2021-04-02 13:23:55.620260+00:00,8.60
2021-04-02 13:23:56.524902+00:00,9.70
2021-04-02 13:23:57.550013+00:00,8.30
2021-04-02 13:23:57.635031+00:00,8.40
2021-04-02 13:23:58.691812+00:00,7.40
2021-04-02 13:23:59.571841+00:00,7.60
2021-04-02 13:24:00.569016+00:00,7.20
2021-04-02 13:24:01.571672+00:00,6.20
2021-04-02 13:24:02.556327+00:00,6.00
2021-04-02 13:24:03.563205+00:00,4.70
2021-04-02 13:24:04.569195+00:00,4.80
2021-04-02 13:24:04.667692+00:00,4.90
2021-04-02 13:24:05.576702+00:00,4.30
2021-04-02 13:24:06.572431+00:00,4.30
2021-04-02 13:24:07.573862+00:00,3.10
2021-04-02 13:24:08.576204+00:00,2.70
2021-04-02 13:24:09.580315+00:00,7.60
2021-04-02 13:24:09.740508+00:00,7.50
2021-04-02 13:24:10.605284+00:00,8.50
2021-04-02 13:24:10.692792+00:00,8.60
2021-04-02 13:24:11.087790+00:00,8.50
2021-04-02 13:24:11.590526+00:00,9.90
2021-04-02 13:24:11.749892+00:00,9.90
2021-04-02 13:24:12.596086+00:00,9.30
2021-04-02 13:24:13.097285+00:00,9.30
2021-04-02 13:24:13.599003+00:00,9.90
2021-04-02 13:24:13.736283+00:00,9.90
2021-04-02 13:24:14.607377+00:00,11.00
2021-04-02 13:24:14.625091+00:00,11.10
2021-04-02 13:24:15.107901+00:00,11.00
2021-04-02 13:24:15.615627+00:00,10.70
2021-04-02 13:24:15.963376+00:00,10.60
2021-04-02 13:24:16.629536+00:00,10.10
2021-04-02 13:24:17.254884+00:00,10.10
2021-04-02 13:24:18.124141+00:00,10.10
2021-04-02 13:24:18.610480+00:00,9.30
2021-04-02 13:24:18.761414+00:00,9.30
2021-04-02 13:24:19.627099+00:00,9.70
2021-04-02 13:24:20.301028+00:00,9.70
2021-04-02 13:24:20.615087+00:00,9.90
