time,timestamp,speed,pressure,rel_angle,temperature
2021-04-16 15:00:00+00:00,1618585200000000000,8.640,1027.833,-93.423,8.699
2021-04-16 16:00:00+00:00,1618588800000000000,8.263,1027.744,-93.553,8.838
2021-04-16 17:00:00+00:00,1618592400000000000,6.570,1027.768,-94.346,8.679
2021-04-16 18:00:00+00:00,1618596000000000000,4.664,1027.806,-102.285,8.468
2021-04-16 19:00:00+00:00,1618599600000000000,4.655,1027.924,-107.938,8.317
2021-04-16 20:00:00+00:00,1618603200000000000,4.052,1027.748,-112.292,8.211
2021-04-16 21:00:00+00:00,1618606800000000000,3.994,1027.579,-121.949,8.073
2021-04-16 22:00:00+00:00,1618610400000000000,4.043,1027.195,-129.717,8.123
2021-04-16 23:00:00+00:00,1618614000000000000,4.822,1026.792,-121.349,8.101
2021-04-17 00:00:00+00:00,1618617600000000000,4.485,1026.278,-123.329,8.102
2021-04-17 01:00:00+00:00,1618621200000000000,4.460,1025.961,-126.920,8.246
2021-04-17 02:00:00+00:00,1618624800000000000,4.576,1025.752,-123.044,7.825
2021-04-17 03:00:00+00:00,1618628400000000000,5.577,1025.424,-126.002,7.800
2021-04-17 04:00:00+00:00,1618632000000000000,5.165,1025.396,-122.668,7.714
2021-04-17 05:00:00+00:00,1618635600000000000,5.802,1025.292,-112.657,7.627
2021-04-17 06:00:00+00:00,1618639200000000000,6.949,1025.200,-90.994,7.696
2021-04-17 07:00:00+00:00,1618642800000000000,8.338,1025.078,-70.019,7.904
2021-04-17 08:00:00+00:00,1618646400000000000,10.563,1025.243,-55.101,8.068
2021-04-17 09:00:00+00:00,1618650000000000000,9.613,1025.370,-54.028,8.211
2021-04-17 10:00:00+00:00,1618653600000000000,10.297,1025.239,-46.896,8.477
2021-04-17 11:00:00+00:00,1618657200000000000,9.634,1025.088,-49.570,8.696
2021-04-17 12:00:00+00:00,1618660800000000000,9.659,1025.112,-49.907,9.007
2021-04-17 13:00:00+00:00,1618664400000000000,12.370,1025.087,-51.231,9.167
2021-04-17 14:00:00+00:00,1618668000000000000,10.888,1024.817,-54.130,9.295
2021-04-17 15:00:00+00:00,1618671600000000000,9.471,1024.689,-41.001,9.214
2021-04-17 16:00:00+00:00,1618675200000000000,9.425,1024.359,-60.547,9.179
2021-04-17 17:00:00+00:00,1618678800000000000,9.352,1024.408,-57.983,9.092
2021-04-17 18:00:00+00:00,1618682400000000000,7.563,1024.616,-55.126,8.922
2021-04-17 19:00:00+00:00,1618686000000000000,8.596,1024.690,-59.697,8.709
2021-04-17 20:00:00+00:00,1618689600000000000,7.023,1024.776,-54.123,8.494
2021-04-17 21:00:00+00:00,1618693200000000000,5.348,1024.652,-63.657,8.227
2021-04-17 22:00:00+00:00,1618696800000000000,7.804,1024.627,-60.741,8.223
2021-04-17 23:00:00+00:00,1618700400000000000,5.443,1024.270,-81.251,8.193
2021-04-18 00:00:00+00:00,1618704000000000000,7.295,1024.073,-63.922,8.124
