time,timestamp,speed,pressure,rel_angle,temperature
2021-04-16 15:20:00+00:00,1618586400000000000,8.628,1027.850,-95.548,8.609
2021-04-16 15:40:00+00:00,1618587600000000000,8.649,1027.823,-91.829,8.814
2021-04-16 16:00:00+00:00,1618588800000000000,8.686,1027.733,-96.264,8.860
2021-04-16 16:20:00+00:00,1618590000000000000,8.177,1027.744,-92.690,8.834
2021-04-16 16:40:00+00:00,1618591200000000000,7.925,1027.750,-91.706,8.800
2021-04-16 17:00:00+00:00,1618592400000000000,7.163,1027.767,-91.207,8.718
2021-04-16 17:20:00+00:00,1618593600000000000,6.486,1027.763,-95.741,8.667
2021-04-16 17:40:00+00:00,1618594800000000000,6.061,1027.775,-96.092,8.600
2021-04-16 18:00:00+00:00,1618596000000000000,5.071,1027.800,-95.031,8.506
2021-04-16 18:20:00+00:00,1618597200000000000,4.416,1027.827,-103.767,8.400
2021-04-16 18:40:00+00:00,1618598400000000000,4.505,1027.791,-108.058,8.400
2021-04-16 19:00:00+00:00,1618599600000000000,4.773,1027.843,-105.492,8.400
2021-04-16 19:20:00+00:00,1618600800000000000,5.406,1027.954,-106.264,8.306
2021-04-16 19:40:00+00:00,1618602000000000000,3.785,1027.960,-112.059,8.301
2021-04-16 20:00:00+00:00,1618603200000000000,3.327,1027.863,-116.323,8.222
2021-04-16 20:20:00+00:00,1618604400000000000,4.282,1027.743,-111.347,8.200
2021-04-16 20:40:00+00:00,1618605600000000000,4.548,1027.637,-109.206,8.200
2021-04-16 21:00:00+00:00,1618606800000000000,3.732,1027.644,-120.436,8.100
2021-04-16 21:20:00+00:00,1618608000000000000,4.229,1027.614,-123.903,8.051
2021-04-16 21:40:00+00:00,1618609200000000000,4.021,1027.475,-121.507,8.072
2021-04-16 22:00:00+00:00,1618610400000000000,3.895,1027.371,-124.682,8.095
2021-04-16 22:20:00+00:00,1618611600000000000,4.180,1027.183,-131.257,8.167
2021-04-16 22:40:00+00:00,1618612800000000000,4.053,1027.000,-133.211,8.200
2021-04-16 23:00:00+00:00,1618614000000000000,4.693,1026.922,-125.284,8.150
2021-04-16 23:20:00+00:00,1618615200000000000,4.908,1026.767,-121.975,8.095
2021-04-16 23:40:00+00:00,1618616400000000000,4.865,1026.657,-116.789,8.077
2021-04-17 00:00:00+00:00,1618617600000000000,4.837,1026.420,-122.674,8.094
2021-04-17 00:20:00+00:00,1618618800000000000,4.708,1026.233,-127.580,8.099
2021-04-17 00:40:00+00:00,1618620000000000000,3.910,1026.150,-119.732,8.122
2021-04-17 01:00:00+00:00,1618621200000000000,4.216,1026.067,-122.230,8.160
2021-04-17 01:20:00+00:00,1618622400000000000,4.823,1025.989,-129.177,8.287
2021-04-17 01:40:00+00:00,1618623600000000000,4.341,1025.850,-129.353,8.236
2021-04-17 02:00:00+00:00,1618624800000000000,4.282,1025.833,-123.133,7.889
2021-04-17 02:20:00+00:00,1618626000000000000,4.455,1025.750,-122.256,7.800
2021-04-17 02:40:00+00:00,1618627200000000000,4.992,1025.660,-123.742,7.720
2021-04-17 03:00:00+00:00,1618628400000000000,5.777,1025.550,-125.541,7.800
2021-04-17 03:20:00+00:00,1618629600000000000,5.572,1025.373,-127.941,7.783
2021-04-17 03:40:00+00:00,1618630800000000000,5.381,1025.350,-124.523,7.820
2021-04-17 04:00:00+00:00,1618632000000000000,5.205,1025.350,-123.607,7.713
2021-04-17 04:20:00+00:00,1618633200000000000,4.678,1025.425,-122.635,7.768
2021-04-17 04:40:00+00:00,1618634400000000000,5.611,1025.422,-121.763,7.704
2021-04-17 05:00:00+00:00,1618635600000000000,5.824,1025.244,-122.982,7.667
2021-04-17 05:20:00+00:00,1618636800000000000,5.634,1025.286,-110.228,7.580
2021-04-17 05:40:00+00:00,1618638000000000000,5.948,1025.344,-104.761,7.625
2021-04-17 06:00:00+00:00,1618639200000000000,7.353,1025.227,-97.560,7.668
2021-04-17 06:20:00+00:00,1618640400000000000,5.473,1025.250,-92.867,7.700
2021-04-17 06:40:00+00:00,1618641600000000000,8.020,1025.083,-82.555,7.718
2021-04-17 07:00:00+00:00,1618642800000000000,7.411,1025.020,-73.410,7.800
2021-04-17 07:20:00+00:00,1618644000000000000,9.079,1025.030,-69.622,7.901
2021-04-17 07:40:00+00:00,1618645200000000000,8.523,1025.175,-67.024,8.000
2021-04-17 08:00:00+00:00,1618646400000000000,9.501,1025.244,-54.873,8.000
2021-04-17 08:20:00+00:00,1618647600000000000,10.893,1025.260,-51.618,8.100
2021-04-17 08:40:00+00:00,1618648800000000000,11.294,1025.227,-58.813,8.078
2021-04-17 09:00:00+00:00,1618650000000000000,9.958,1025.450,-56.955,8.106
2021-04-17 09:20:00+00:00,1618651200000000000,8.893,1025.411,-49.120,8.272
2021-04-17 09:40:00+00:00,1618652400000000000,9.988,1025.270,-56.008,8.302
