,rel_angle
2021-03-16 19:19:04.031152+00:00,-143.50
2021-03-16 19:19:05.030148+00:00,-143.50
2021-03-16 19:19:06.039702+00:00,-136.00
2021-03-16 19:19:07.034745+00:00,-150.00
2021-03-16 19:19:08.065767+00:00,-160.50
2021-03-16 19:19:09.109394+00:00,-138.50
2021-03-16 19:19:10.072061+00:00,-142.50
2021-03-16 19:19:11.084544+00:00,-145.00
2021-03-16 19:19:12.082384+00:00,-138.00
2021-03-16 19:19:13.089953+00:00,-142.50
2021-03-16 19:19:14.106637+00:00,-139.00
2021-03-16 19:19:15.091238+00:00,-146.00
2021-03-16 19:19:16.093605+00:00,-178.50
2021-03-16 19:19:17.103171+00:00,-173.00
2021-03-16 19:19:18.122705+00:00,-164.00
2021-03-16 19:19:19.119086+00:00,-161.00
2021-03-16 19:19:20.123173+00:00,-143.00
2021-03-16 19:19:21.135729+00:00,-170.50
2021-03-16 19:19:22.127288+00:00,-162.00
2021-03-16 19:19:23.130928+00:00,-155.50
2021-03-16 19:19:24.162358+00:00,-160.50
2021-03-16 19:19:25.148286+00:00,-154.00
2021-03-16 19:19:26.173968+00:00,-136.50
2021-03-16 19:19:27.181873+00:00,-160.00
2021-03-16 19:19:28.178190+00:00,-139.50
2021-03-16 19:19:29.380485+00:00,-162.00
2021-03-16 19:19:30.193583+00:00,176.50
2021-03-16 19:19:31.204334+00:00,-174.50
2021-03-16 19:19:32.196228+00:00,-150.00
2021-03-16 19:19:33.206754+00:00,-133.00
2021-03-16 19:19:34.205709+00:00,-128.50
2021-03-16 19:19:35.196537+00:00,-133.50
2021-03-16 19:19:36.208779+00:00,-149.50
2021-03-16 19:19:37.199515+00:00,-155.00
2021-03-16 19:19:38.207389+00:00,-173.50
2021-03-16 19:19:39.211534+00:00,175.50
2021-03-16 19:19:40.214404+00:00,-171.50
2021-03-16 19:19:41.219234+00:00,171.00
2021-03-16 19:19:42.244678+00:00,179.50
2021-03-16 19:19:43.238887+00:00,-168.50
2021-03-16 19:19:44.239536+00:00,177.00
2021-03-16 19:19:45.235551+00:00,-172.00
2021-03-16 19:19:46.238646+00:00,-140.00
2021-03-16 19:19:47.244560+00:00,166.50
2021-03-16 19:19:48.248444+00:00,-176.50
2021-03-16 19:19:49.250843+00:00,-154.00
2021-03-16 19:19:50.244164+00:00,-149.50
2021-03-16 19:19:51.711489+00:00,-160.00
2021-03-16 19:19:52.259928+00:00,173.00
2021-03-16 19:19:53.258262+00:00,-149.50
2021-03-16 19:19:54.268645+00:00,-105.00
2021-03-16 19:19:55.270934+00:00,-175.50
2021-03-16 19:19:56.286895+00:00,-156.50
2021-03-16 19:19:57.285198+00:00,-155.00
2021-03-16 19:19:58.286222+00:00,-160.50
2021-03-16 19:19:59.289664+00:00,-161.00
2021-03-16 19:20:00.298397+00:00,-151.00
2021-03-16 19:20:01.300754+00:00,-147.50
2021-03-16 19:20:02.302535+00:00,-153.00
2021-03-16 19:20:03.307832+00:00,-147.00
2021-03-16 19:20:04.314501+00:00,-134.00
2021-03-16 19:20:05.309523+00:00,-134.50
2021-03-16 19:20:06.320764+00:00,-135.00
2021-03-16 19:20:07.318181+00:00,-142.50
2021-03-16 19:20:08.316668+00:00,-160.00
2021-03-16 19:20:09.324322+00:00,-166.00
2021-03-16 19:20:10.329367+00:00,-143.00
2021-03-16 19:20:11.325635+00:00,-152.50
2021-03-16 19:20:12.336313+00:00,-157.00
2021-03-16 19:20:13.332966+00:00,-150.50
2021-03-16 19:20:14.353907+00:00,-138.00
2021-03-16 19:20:15.344098+00:00,-132.50
2021-03-16 19:20:16.375969+00:00,-144.50
2021-03-16 19:20:17.351046+00:00,-157.50
2021-03-16 19:20:18.349884+00:00,-150.00
2021-03-16 19:20:19.352602+00:00,-145.00
2021-03-16 19:20:20.355195+00:00,-150.00
2021-03-16 19:20:21.353733+00:00,-151.00
2021-03-16 19:20:22.357104+00:00,-148.00
2021-03-16 19:20:23.367130+00:00,-149.00
2021-03-16 19:20:24.371709+00:00,-144.50
2021-03-16 19:20:25.374091+00:00,-145.50
