time,timestamp,speed,pressure,rel_angle,temperature
2021-04-16 15:00:00+00:00,1618585200000000000,7.336,1027.850,-103.504,8.457
2021-04-16 15:30:00+00:00,1618587000000000000,8.857,1027.832,-91.743,8.755
2021-04-16 16:00:00+00:00,1618588800000000000,8.424,1027.740,-94.655,8.876
2021-04-16 16:30:00+00:00,1618590600000000000,8.101,1027.747,-92.451,8.775
2021-04-16 17:00:00+00:00,1618592400000000000,7.042,1027.770,-92.410,8.713
2021-04-16 17:30:00+00:00,1618594200000000000,6.098,1027.767,-96.282,8.600
2021-04-16 18:00:00+00:00,1618596000000000000,4.972,1027.807,-97.887,8.493
2021-04-16 18:30:00+00:00,1618597800000000000,4.356,1027.806,-106.683,8.400
2021-04-16 19:00:00+00:00,1618599600000000000,5.071,1027.893,-106.598,8.357
2021-04-16 19:30:00+00:00,1618601400000000000,4.239,1027.964,-109.279,8.301
2021-04-16 20:00:00+00:00,1618603200000000000,3.490,1027.823,-115.015,8.217
2021-04-16 20:30:00+00:00,1618605000000000000,4.615,1027.650,-109.569,8.200
2021-04-16 21:00:00+00:00,1618606800000000000,3.899,1027.643,-121.348,8.087
2021-04-16 21:30:00+00:00,1618608600000000000,4.089,1027.490,-122.550,8.064
2021-04-16 22:00:00+00:00,1618610400000000000,4.022,1027.330,-125.458,8.095
2021-04-16 22:30:00+00:00,1618612200000000000,4.063,1027.044,-133.975,8.214
2021-04-16 23:00:00+00:00,1618614000000000000,4.858,1026.867,-123.933,8.112
2021-04-16 23:30:00+00:00,1618615800000000000,4.785,1026.680,-118.765,8.090
2021-04-17 00:00:00+00:00,1618617600000000000,4.713,1026.367,-124.883,8.097
2021-04-17 00:30:00+00:00,1618619400000000000,4.257,1026.167,-121.775,8.110
2021-04-17 01:00:00+00:00,1618621200000000000,4.473,1026.062,-124.593,8.188
2021-04-17 01:30:00+00:00,1618623000000000000,4.447,1025.907,-129.248,8.271
2021-04-17 02:00:00+00:00,1618624800000000000,4.205,1025.785,-122.371,7.868
2021-04-17 02:30:00+00:00,1618626600000000000,4.948,1025.710,-123.716,7.743
2021-04-17 03:00:00+00:00,1618628400000000000,5.660,1025.486,-125.845,7.786
2021-04-17 03:30:00+00:00,1618630200000000000,5.494,1025.345,-126.158,7.812
2021-04-17 04:00:00+00:00,1618632000000000000,4.980,1025.364,-123.234,7.726
2021-04-17 04:30:00+00:00,1618633800000000000,5.349,1025.431,-122.103,7.707
2021-04-17 05:00:00+00:00,1618635600000000000,5.661,1025.262,-119.056,7.633
2021-04-17 05:30:00+00:00,1618637400000000000,5.944,1025.325,-106.258,7.617
2021-04-17 06:00:00+00:00,1618639200000000000,6.770,1025.233,-97.176,7.683
2021-04-17 06:30:00+00:00,1618641000000000000,7.127,1025.150,-84.812,7.710
2021-04-17 07:00:00+00:00,1618642800000000000,7.752,1025.018,-71.782,7.856
2021-04-17 07:30:00+00:00,1618644600000000000,8.924,1025.133,-68.256,7.938
2021-04-17 08:00:00+00:00,1618646400000000000,9.638,1025.246,-52.764,8.071
2021-04-17 08:30:00+00:00,1618648200000000000,11.488,1025.241,-57.438,8.066
2021-04-17 09:00:00+00:00,1618650000000000000,9.361,1025.450,-53.493,8.117
2021-04-17 09:30:00+00:00,1618651800000000000,9.864,1025.307,-54.563,8.300
2021-04-17 10:00:00+00:00,1618653600000000000,10.172,1025.260,-47.123,8.438
2021-04-17 10:30:00+00:00,1618655400000000000,10.422,1025.215,-46.669,8.501
2021-04-17 11:00:00+00:00,1618657200000000000,9.020,1025.138,-48.012,8.629
2021-04-17 11:30:00+00:00,1618659000000000000,10.247,1025.033,-51.129,8.726
2021-04-17 12:00:00+00:00,1618660800000000000,9.139,1025.083,-51.108,8.926
2021-04-17 12:30:00+00:00,1618662600000000000,10.180,1025.142,-48.707,9.087
2021-04-17 13:00:00+00:00,1618664400000000000,12.517,1025.100,-49.649,9.116
2021-04-17 13:30:00+00:00,1618666200000000000,12.224,1025.079,-52.813,9.260
2021-04-17 14:00:00+00:00,1618668000000000000,10.633,1024.908,-51.425,9.302
2021-04-17 14:30:00+00:00,1618669800000000000,11.144,1024.744,-56.835,9.279
2021-04-17 15:00:00+00:00,1618671600000000000,9.325,1024.779,-42.765,9.225
2021-04-17 15:30:00+00:00,1618673400000000000,9.617,1024.592,-39.238,9.200
2021-04-17 16:00:00+00:00,1618675200000000000,9.178,1024.400,-56.071,9.162
2021-04-17 16:30:00+00:00,1618677000000000000,9.672,1024.310,-65.024,9.200
2021-04-17 17:00:00+00:00,1618678800000000000,9.217,1024.355,-60.791,9.100
